task,variant,source,trial,comparison_status,counts_for_score,reward,exception_type,valid_verifier_result,timeout_upload_result,result_path,wall_duration_sec,environment_setup_sec,agent_setup_sec,agent_execution_sec,verifier_sec,input_tokens,cache_tokens,output_tokens,token_usage_available,token_usage_source,total_input_output_tokens,uncached_input_tokens,uncached_input_output_tokens,cost_usd,kimi_session_id,kimi_wire_path,kimi_usage_turns,kimi_input_other_tokens,kimi_input_cache_read_tokens,kimi_input_cache_creation_tokens,kimi_llm_first_token_latency_ms_mean,kimi_llm_first_token_latency_ms_median,kimi_llm_stream_duration_ms_mean,kimi_llm_stream_duration_ms_median,kimi_llm_stream_duration_ms_sum,prompt_chars,previous_failure_chars,env_snapshot_chars,injected_context_chars,kimi_stdout_bytes,kimi_stream_events,kimi_tool_call_events,claude_log_bytes,claude_trajectory_steps
cancel-async-tasks,with Meta-Harness,kimi-code+kimi-for-coding,cancel-async-tasks__UmqeHfc,passed,True,1.0,,True,False,/Users/hugo/Projects/Harness-TrajecDebug/docs/case-studies/kimi-code-cancel-async-tasks-metaharness-2026-06-10/raw/with-metaharness-4x/cancel-async-tasks__UmqeHfc/result.json,261.143,0.73,0.001,207.735,42.196,50884,36096,6443,True,kimi_session_wire,57327,14788,21231,,session_1a0eeb43-bbe1-453f-a0da-18b350d52a21,/Users/hugo/.kimi-code/sessions/wd_kimi-code_6eeaa524c450/session_1a0eeb43-bbe1-453f-a0da-18b350d52a21/agents/main/wire.jsonl,2,14788,36096,0,3378.0,3378.0,97438.0,97438.0,194876,3058,1160,489,1649,2058,4,2,,2
chess-best-move,without Meta-Harness,claude-code+kimi-k2.6,chess-best-move__YWzYkSZ,failed,False,0.0,,True,False,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-chess-best-move-claude-code-k6/chess-best-move__YWzYkSZ/result.json,1745.222,836.341,1.455,772.35,124.3,39278,39254,83898,True,harbor_agent_result,123176,24,83922,,,,,,,,,,,,,,,,,,,,233483,7
chess-best-move,with Meta-Harness,kimi-code+kimi-for-coding,chess-best-move__MBoXvZy,timeout_failure,False,0.0,AgentTimeoutError,True,True,/Users/hugo/Projects/Harness-TrajecDebug/artifacts/harbor-runs/tb21-chess-best-move-kimicode-with-metaharness-20260610T195123/chess-best-move__MBoXvZy/result.json,648.379,0.439,0.001,600.611,36.608,731642,694528,18465,True,kimi_session_wire,750107,37114,55579,,session_604066cc-afd6-4e51-a6c5-988ada4d88f7,/Users/hugo/.kimi-code/sessions/wd_kimi-code_6eeaa524c450/session_604066cc-afd6-4e51-a6c5-988ada4d88f7/agents/main/wire.jsonl,22,37114,694528,0,1925.864,1670.0,23689.227,10916.5,521163,4563,1110,1019,2129,,,,,
circuit-fibsqrt,without Meta-Harness,claude-code+kimi-k2.6,circuit-fibsqrt__2ZkY6WZ,timeout_failure,False,0.0,AgentTimeoutError,True,True,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-circuit-fibsqrt-claude-code-k6/circuit-fibsqrt__2ZkY6WZ/result.json,6058.859,831.172,1.381,3600.002,1616.05,6384432,6384156,264111,True,harbor_agent_result,6648543,276,264387,,,,,,,,,,,,,,,,,,,,910615,70
cobol-modernization,without Meta-Harness,claude-code+kimi-k2.6,cobol-modernization__jaM66zx,passed,True,1.0,,True,False,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-cobol-modernization-claude-code-k6/cobol-modernization__jaM66zx/result.json,1366.015,852.583,1.468,398.309,103.457,1724222,1723946,30669,True,harbor_agent_result,1754891,276,30945,,,,,,,,,,,,,,,,,,,,129768,70
code-from-image,without Meta-Harness,claude-code+kimi-k2.6,code-from-image__9npVqSx,passed,True,1.0,,True,False,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-code-from-image-claude-code-k6/code-from-image__9npVqSx/result.json,291.324,0.9,228.052,25.902,26.024,124098,124066,1556,True,harbor_agent_result,125654,32,1588,,,,,,,,,,,,,,,,,,,,263639,9
compile-compcert,without Meta-Harness,claude-code+kimi-k2.6,compile-compcert__KaRQKQb,timeout_failure,False,0.0,AgentTimeoutError,True,True,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-compile-compcert-claude-code-k6/compile-compcert__KaRQKQb/result.json,2418.573,0.982,1.389,2400.003,5.916,258532,258444,2702,True,harbor_agent_result,261234,88,2790,,,,,,,,,,,,,,,,,,,,57102,23
configure-git-webserver,without Meta-Harness,claude-code+kimi-k2.6,configure-git-webserver__L3zL6Wm,failed,False,0.0,,True,False,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-configure-git-webserver-claude-code-k6/configure-git-webserver__L3zL6Wm/result.json,718.374,26.622,311.298,255.566,113.799,1499990,1499742,8346,True,harbor_agent_result,1508336,248,8594,,,,,,,,,,,,,,,,,,,,130528,63
configure-git-webserver,with Meta-Harness,kimi-code+kimi-for-coding,configure-git-webserver__TcPkHzp,failed,False,0.0,,True,False,/Users/hugo/Projects/Harness-TrajecDebug/artifacts/harbor-runs/tb21-configure-git-webserver-kimicode-with-metaharness-20260610T212420/configure-git-webserver__TcPkHzp/result.json,604.636,109.693,0.001,426.406,57.741,749458,717824,11752,True,kimi_session_wire,761210,31634,43386,,session_4a035360-334e-445a-9d4f-26528a15b269,/Users/hugo/.kimi-code/sessions/wd_kimi-code_6eeaa524c450/session_4a035360-334e-445a-9d4f-26528a15b269/agents/main/wire.jsonl,23,31634,717824,0,1613.478,1484.0,14703.913,4993.0,338190,6893,3530,987,4517,41750,53,29,,2
constraints-scheduling,without Meta-Harness,claude-code+kimi-k2.6,constraints-scheduling__dQPru6v,passed,True,1.0,,True,False,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-constraints-scheduling-claude-code-k6/constraints-scheduling__dQPru6v/result.json,574.04,74.357,278.976,156.558,52.763,84398,84366,12368,True,harbor_agent_result,96766,32,12400,,,,,,,,,,,,,,,,,,,,35726,9
count-dataset-tokens,without Meta-Harness,claude-code+kimi-k2.6,count-dataset-tokens__bMTDtbq,failed,False,0.0,,True,False,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-count-dataset-tokens-claude-code-k6/count-dataset-tokens__bMTDtbq/result.json,650.079,2.057,243.623,366.166,26.421,553846,553734,6554,True,harbor_agent_result,560400,112,6666,,,,,,,,,,,,,,,,,,,,81294,29
count-dataset-tokens,with Meta-Harness,kimi-code+kimi-for-coding,count-dataset-tokens__syFscbp,passed,True,1.0,AgentTimeoutError,True,True,/Users/hugo/Projects/Harness-TrajecDebug/artifacts/harbor-runs/tb21-count-dataset-tokens-kimicode-with-metaharness-20260610T214015/count-dataset-tokens__syFscbp/result.json,958.594,1.21,0.001,900.041,45.974,644074,615680,9062,True,kimi_session_wire,653136,28394,37456,,session_8c7dc85c-a34b-43d8-8c5c-f5d60a6121ce,/Users/hugo/.kimi-code/sessions/wd_kimi-code_6eeaa524c450/session_8c7dc85c-a34b-43d8-8c5c-f5d60a6121ce/agents/main/wire.jsonl,21,28394,615680,0,1473.381,1339.0,8672.524,6238.0,182123,6468,3355,782,4137,46298,42,20,,
crack-7z-hash,without Meta-Harness,claude-code+kimi-k2.6,crack-7z-hash__nDyLXum,invalid_or_missing,False,,EnvironmentStartTimeoutError,False,False,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-crack-7z-hash-claude-code-k6/crack-7z-hash__nDyLXum/result.json,1201.128,1201.01,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,
custom-memory-heap-crash,without Meta-Harness,claude-code+kimi-k2.6,custom-memory-heap-crash__aL4oUge,passed,True,1.0,,True,False,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-custom-memory-heap-crash-claude-code-k6/custom-memory-heap-crash__aL4oUge/result.json,6329.968,5409.407,361.25,506.388,42.247,2019191,2018927,45425,True,harbor_agent_result,2064616,264,45689,,,,,,,,,,,,,,,,,,,,232440,67
db-wal-recovery,without Meta-Harness,claude-code+kimi-k2.6,db-wal-recovery__QuNbUNr,invalid_or_missing,False,,EnvironmentStartTimeoutError,False,False,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-db-wal-recovery-claude-code-k6/db-wal-recovery__QuNbUNr/result.json,1201.097,1201.007,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,
distribution-search,without Meta-Harness,claude-code+kimi-k2.6,distribution-search__H4cnVnJ,passed,True,1.0,,True,False,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-distribution-search-claude-code-k6/distribution-search__H4cnVnJ/result.json,1222.171,36.129,265.513,834.273,75.775,595166,595098,93358,True,harbor_agent_result,688524,68,93426,,,,,,,,,,,,,,,,,,,,122561,18
dna-assembly,without Meta-Harness,claude-code+kimi-k2.6,dna-assembly__JPpZjYb,timeout_failure,False,0.0,AgentTimeoutError,True,True,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-dna-assembly-claude-code-k6/dna-assembly__JPpZjYb/result.json,3613.662,0.706,1.558,1800.006,1801.17,5695284,5694912,144037,True,harbor_agent_result,5839321,372,144409,,,,,,,,,,,,,,,,,,,,484296,94
dna-insert,without Meta-Harness,claude-code+kimi-k2.6,dna-insert__sW3VReS,failed,False,0.0,,True,False,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-dna-insert-claude-code-k6/dna-insert__sW3VReS/result.json,1152.308,0.823,378.79,724.158,38.023,3602462,3602098,60433,True,harbor_agent_result,3662895,364,60797,,,,,,,,,,,,,,,,,,,,237936,92
dna-insert,with Meta-Harness,kimi-code+kimi-for-coding,dna-insert__5sUn5fD,failed,False,0.0,,True,False,/Users/hugo/Projects/Harness-TrajecDebug/artifacts/harbor-runs/tb21-dna-insert-kimicode-with-metaharness-20260610T215623/dna-insert__5sUn5fD/result.json,650.18,0.948,0.001,594.052,44.307,933971,890624,19431,True,kimi_session_wire,953402,43347,62778,,session_be91903f-6cff-4dd1-9963-0f5692898428,/Users/hugo/.kimi-code/sessions/wd_kimi-code_6eeaa524c450/session_be91903f-6cff-4dd1-9963-0f5692898428/agents/main/wire.jsonl,25,43347,890624,0,1555.36,1514.0,20501.88,13242.0,512547,9906,5906,1045,6951,48243,50,24,,2
extract-elf,without Meta-Harness,claude-code+kimi-k2.6,extract-elf__6cSci76,invalid_or_missing,False,,EnvironmentStartTimeoutError,False,False,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-extract-elf-claude-code-k6/extract-elf__6cSci76/result.json,1201.097,1201.007,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,
extract-moves-from-video,without Meta-Harness,claude-code+kimi-k2.6,extract-moves-from-video__cBoC35d,timeout_failure,False,0.0,AgentTimeoutError,True,True,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-extract-moves-from-video-claude-code-k6/extract-moves-from-video__cBoC35d/result.json,1818.245,1.5,1.483,1800.003,4.964,777876,777692,4978,True,harbor_agent_result,782854,184,5162,,,,,,,,,,,,,,,,,,,,56077,47
feal-differential-cryptanalysis,without Meta-Harness,claude-code+kimi-k2.6,feal-differential-cryptanalysis__ULVpXrK,failed,False,0.0,,True,False,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-feal-differential-cryptanalysis-claude-code-k6/feal-differential-cryptanalysis__ULVpXrK/result.json,3680.244,72.875,1.435,1767.851,1827.896,410396,410356,145580,True,harbor_agent_result,555976,40,145620,,,,,,,,,,,,,,,,,,,,232725,11
feal-differential-cryptanalysis,with Meta-Harness,kimi-code+kimi-for-coding,feal-differential-cryptanalysis__YKaaZke,passed,True,1.0,,True,False,/Users/hugo/Projects/Harness-TrajecDebug/artifacts/harbor-runs/tb21-feal-differential-cryptanalysis-kimicode-with-metaharness-20260610T233724/feal-differential-cryptanalysis__YKaaZke/result.json,655.809,6.713,0.001,580.081,58.14,171892,159488,19018,True,kimi_session_wire,190910,12404,31422,,session_d669ccc7-49d6-49f1-b28a-553058f61d53,/Users/hugo/.kimi-code/sessions/wd_kimi-code_6eeaa524c450/session_d669ccc7-49d6-49f1-b28a-553058f61d53/agents/main/wire.jsonl,5,12404,159488,0,1785.6,1347.0,113068.8,26004.0,565344,6160,2477,832,3309,12326,10,5,,2
feal-linear-cryptanalysis,without Meta-Harness,claude-code+kimi-k2.6,feal-linear-cryptanalysis__gtueKG9,passed,True,1.0,,True,False,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-feal-linear-cryptanalysis-claude-code-k6/feal-linear-cryptanalysis__gtueKG9/result.json,1514.307,53.22,1.691,1419.48,29.453,4414294,4413954,103415,True,harbor_agent_result,4517709,340,103755,,,,,,,,,,,,,,,,,,,,285365,86
filter-js-from-html,without Meta-Harness,claude-code+kimi-k2.6,filter-js-from-html__UAWA7hS,failed,False,0.0,,True,False,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-filter-js-from-html-claude-code-k6/filter-js-from-html__UAWA7hS/result.json,760.633,192.787,1.775,512.026,43.465,155434,155402,40278,True,harbor_agent_result,195712,32,40310,,,,,,,,,,,,,,,,,,,,100500,9
filter-js-from-html,with Meta-Harness,kimi-code+kimi-for-coding,filter-js-from-html__ZfjJFB7,failed,False,0.0,,True,False,/Users/hugo/Projects/Harness-TrajecDebug/artifacts/harbor-runs/tb21-filter-js-from-html-kimicode-with-metaharness-20260610T220723/filter-js-from-html__ZfjJFB7/result.json,628.78,131.433,0.002,424.929,61.802,254135,224256,13370,True,kimi_session_wire,267505,29879,43249,,session_b2bba646-a691-4f2e-9a55-bba5483f831a,/Users/hugo/.kimi-code/sessions/wd_kimi-code_6eeaa524c450/session_b2bba646-a691-4f2e-9a55-bba5483f831a/agents/main/wire.jsonl,7,29879,224256,0,2346.857,1534.0,57496.429,7355.0,402475,17210,13714,937,14651,15317,14,6,,2
financial-document-processor,without Meta-Harness,claude-code+kimi-k2.6,financial-document-processor__fgTJdNh,passed,True,1.0,,True,False,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-financial-document-processor-claude-code-k6/financial-document-processor__fgTJdNh/result.json,496.116,57.464,1.656,290.98,135.365,1226334,1226166,28794,True,harbor_agent_result,1255128,168,28962,,,,,,,,,,,,,,,,,,,,3255942,50
fix-code-vulnerability,without Meta-Harness,claude-code+kimi-k2.6,fix-code-vulnerability__ecc4q9s,passed,True,1.0,,True,False,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-fix-code-vulnerability-claude-code-k6/fix-code-vulnerability__ecc4q9s/result.json,358.625,194.447,1.554,143.639,8.508,1899043,1898915,5594,True,harbor_agent_result,1904637,128,5722,,,,,,,,,,,,,,,,,,,,746939,33
fix-git,without Meta-Harness,claude-code+kimi-k2.6,fix-git__Bdoo6Wh,passed,True,1.0,,True,False,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-fix-git-claude-code-k6/fix-git__Bdoo6Wh/result.json,240.029,69.512,1.561,126.317,32.166,517454,517322,12696,True,harbor_agent_result,530150,132,12828,,,,,,,,,,,,,,,,,,,,58851,34
fix-ocaml-gc,without Meta-Harness,claude-code+kimi-k2.6,fix-ocaml-gc__gb3RfW6,passed,True,1.0,,True,False,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-fix-ocaml-gc-claude-code-k6/fix-ocaml-gc__gb3RfW6/result.json,1889.566,279.732,1.455,907.09,690.889,1628542,1628374,40011,True,harbor_agent_result,1668553,168,40179,,,,,,,,,,,,,,,,,,,,575487,43
gcode-to-text,without Meta-Harness,claude-code+kimi-k2.6,gcode-to-text__sw2X5Tf,failed,False,0.0,,True,False,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-gcode-to-text-claude-code-k6/gcode-to-text__sw2X5Tf/result.json,6942.814,1.82,1.546,3715.759,1101.753,844208,822857,17620,True,harbor_agent_result,861828,21351,38971,,,,,,,,,,,,,,,,,,,,76086,40
gcode-to-text,with Meta-Harness,kimi-code+kimi-for-coding,gcode-to-text__5avJ8q4,timeout_failure,False,0.0,AgentTimeoutError,True,True,/Users/hugo/Projects/Harness-TrajecDebug/artifacts/harbor-runs/tb21-gcode-to-text-kimicode-with-metaharness-20260610T221801/gcode-to-text__5avJ8q4/result.json,950.125,1.02,0.002,900.043,38.052,3258393,3139584,46326,True,kimi_session_wire,3304719,118809,165135,,session_ba11ba15-9a00-4823-b3fb-07635cffe19a,/Users/hugo/.kimi-code/sessions/wd_kimi-code_6eeaa524c450/session_ba11ba15-9a00-4823-b3fb-07635cffe19a/agents/main/wire.jsonl,57,118809,3139584,0,2003.105,1602.0,12573.649,6321.0,716698,6414,3487,846,4333,,,,,
git-leak-recovery,without Meta-Harness,claude-code+kimi-k2.6,git-leak-recovery__QihhiXn,failed,False,0.0,,True,False,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-git-leak-recovery-claude-code-k6/git-leak-recovery__QihhiXn/result.json,3673.071,46.481,1.662,101.63,3512.453,713606,713434,9465,True,harbor_agent_result,723071,172,9637,,,,,,,,,,,,,,,,,,,,49444,44
git-leak-recovery,with Meta-Harness,kimi-code+kimi-for-coding,git-leak-recovery__DgoaY7Z,invalid_or_missing,False,,RewardFileNotFoundError,False,False,/Users/hugo/Projects/Harness-TrajecDebug/artifacts/harbor-runs/tb21-git-leak-recovery-kimicode-with-metaharness-20260611T004727/git-leak-recovery__DgoaY7Z/result.json,410.393,0.312,0.001,142.086,267.608,349888,332288,4290,True,kimi_session_wire,354178,17600,21890,,session_e0117fe0-63af-4441-bb13-f51246673519,/Users/hugo/.kimi-code/sessions/wd_kimi-code_6eeaa524c450/session_e0117fe0-63af-4441-bb13-f51246673519/agents/main/wire.jsonl,13,17600,332288,0,1402.077,1228.0,9176.308,6474.0,119292,7460,4063,1034,5097,11440,26,12,,2
git-multibranch,without Meta-Harness,claude-code+kimi-k2.6,git-multibranch__H9PfVUF,failed,False,0.0,,True,False,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-git-multibranch-claude-code-k6/git-multibranch__H9PfVUF/result.json,893.138,398.785,1.502,245.187,237.362,1094060,1093844,12210,True,harbor_agent_result,1106270,216,12426,,,,,,,,,,,,,,,,,,,,83222,55
gpt2-codegolf,without Meta-Harness,claude-code+kimi-k2.6,gpt2-codegolf__AYDTw9B,invalid_or_missing,False,,EnvironmentStartTimeoutError,False,False,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-gpt2-codegolf-claude-code-k6/gpt2-codegolf__AYDTw9B/result.json,1201.104,1201.009,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,
headless-terminal,without Meta-Harness,claude-code+kimi-k2.6,headless-terminal__CeZyykm,failed,False,0.0,,True,False,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-headless-terminal-claude-code-k6/headless-terminal__CeZyykm/result.json,1573.093,339.465,1.437,769.709,452.23,2583348,2583016,54751,True,harbor_agent_result,2638099,332,55083,,,,,,,,,,,,,,,,,,,,185549,84
headless-terminal,with Meta-Harness,kimi-code+kimi-for-coding,headless-terminal__KWjJ8Za,failed,False,0.0,,True,False,/Users/hugo/Projects/Harness-TrajecDebug/artifacts/harbor-runs/tb21-headless-terminal-kimicode-with-metaharness-nostop-20260610T185053/headless-terminal__KWjJ8Za/result.json,271.67,0.487,0.001,197.699,62.947,304120,281600,11289,True,kimi_session_wire,315409,22520,33809,,session_93914efd-08ba-42a7-b589-03a3c77e0748,/Users/hugo/.kimi-code/sessions/wd_kimi-code_6eeaa524c450/session_93914efd-08ba-42a7-b589-03a3c77e0748/agents/main/wire.jsonl,10,22520,281600,0,1489.0,1171.0,17593.2,4858.5,175932,4828,1322,841,2163,13182,20,9,,2
